ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ps-1_dog-1,,ps,1_dog,*kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
akkadian-1_dog-1,,akkadian,1_dog,kalbu,kalbu,k a l b u,,,1,,^ k a l b u $,default
ugaritic-1_dog-1,,ugaritic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
phoenician-1_dog-1,,phoenician,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
hebrew-1_dog-1,,hebrew,1_dog,käläb,kælæb,k æ l æ b,,,1,,^ k æ l æ b $,default
officialaramaic-1_dog-1,,officialaramaic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
hatran-1_dog-1,,hatran,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
jewishpalestinianaramaic-1_dog-1,,jewishpalestinianaramaic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
christianpalestinianaramaic-1_dog-1,,christianpalestinianaramaic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
samaritan-1_dog-1,,samaritan,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
jewishbabylonianaramaic-1_dog-1,,jewishbabylonianaramaic,1_dog,kalbā,kalbaː,k a l b aː,,,1,,^ k a l b aː $,default
syriac-1_dog-1,,syriac,1_dog,kalbā,kalbaː,k a l b aː,,,1,,^ k a l b aː $,default
mandaic-1_dog-1,,mandaic,1_dog,kalba,kalba,k a l b a,,,1,,^ k a l b a $,default
maalula-1_dog-1,,maalula,1_dog,ḫalpa,xalpa,x a l p a,,,1,,^ x a l p a $,default
mlahso-2_hunddog-1,,mlahso,2_hunddog,kalbo,kalbo,k a l b o,,,1,,^ k a l b o $,default
turoyo-2_hunddog-1,,turoyo,2_hunddog,kalbo,kalbo,k a l b o,,,1,,^ k a l b o $,default
arabic-1_dog-1,,arabic,1_dog,kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
sabaic-1_dog-1,,sabaic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
hadramitic-1_dog-1,,hadramitic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
geez-1_dog-1,,geez,1_dog,kalb,kalb,k a l b,,,1,,^ k a l b $,default
tigre-1_dog-1,,tigre,1_dog,kälǝb,kælǝb,k æ l ə b,,,1,,^ k æ l ǝ b $,default
tigrinya-1_dog-1,,tigrinya,1_dog,kälbi,kælbi,k æ l b i,,,1,,^ k æ l b i $,default
amharic-1_dog-1,,amharic,1_dog,kälb,kælb,k æ l b,,,1,,^ k æ l b $,default
