ID,Name,Concepticon_ID,Concepticon_Gloss
1_dog,dog,2009,DOG
2_hunddog,Hund (dog),,
3_wolfdog,wolf; dog,2009,DOG
4_dogwolf,"dog, wolf",2009,DOG
5_all,all,98,ALL
6_allthewholeeveryone,"all, the whole; everyone",98,ALL
7_alleverysomuch,"all, every; so much",98,ALL
8_jederjedealleganzeachallwhole,"jeder, jede, alle, ganz (each, all, whole)",98,ALL
9_allanyone,"all, anyone",98,ALL
10_allwhoever,all; whoever,98,ALL
11_eachevery,"each, every",98,ALL
12_toassemble,to assemble,3638,ASSEMBLE (GET TOGETHER)
13_toassembletocongregatetogathercollect,"to assemble, to congregate; to gather, collect",7,GATHER
14_assembly,assembly,,
15_wholetotality,"whole, totality",2277,WHOLE
16_assemblybanquet,"assembly, banquet",,
17_banquet,banquet,,
18_feastbanquet,"feast, banquet",131,FESTIVAL
19_toboasttoglory,"to boast, to glory",101,BOAST
20_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein,"a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein",,
21_toenterintopartnershiptoassociatewith,"to enter into partnership, to associate with",,
22_toengagetobetrothtoespouse,"to engage, to betroth, to espouse",,
23_together,together,2482,TOGETHER
24_tobite,to bite,1403,BITE
25_tobitetoinciteprovoke,"to bite; to incite, provoke",1403,BITE
26_ibeissentobite,I. beissen (to bite),,
27_toundotountwisttodissolvetobreakacovenant,"to undo, to untwist; to dissolve, to break a covenant",,
28_toremovesomethingfromitsplace,to remove something from its place,,
29_abrogation,abrogation,,
30_onewhoviolatesviolation,one who violates; violation,,
31_tomakeafalseoath,to make a false oath,,
32_blood,blood,946,BLOOD
33_blutblood,Blut (blood),,
34_blutblood,blut (blood),,
35_todie,to die,1494,DIE
36_isterbentodie,I. sterben (to die),,
37_todietobeeclipsed,to die; to be eclipsed,1494,DIE
38_toputtodeath,to put to death,,
39_death,death,910,DEATH
40_todietobenumb,"to die, to be numb",1494,DIE
41_todrink,to drink,1401,DRINK
42_todrinktobewateredtobeirrigated,"to drink, to be watered, to be irrigated",1401,DRINK
43_todrinkbesatisfied,"to drink, be satisfied",1401,DRINK
44_itrinkentodrink,I. trinken (to drink),,
45_libation,libation,,
46_toirrigatetoquenchonesthirst,"to irrigate, to quench one’s thirst",3078,IRRIGATE
47_togivedrinktowatertoirrigate,"to give drink, to water, to irrigate",3078,IRRIGATE
48_niphiptoprovidedrinkfortoirrigate,"(nip., hip.) to provide drink for, to irrigate",3078,IRRIGATE
49_aphtogivedrinktoirrigate,"(aph.) to give drink, to irrigate",3078,IRRIGATE
50_togivedrinktowaterirrigate,"to give drink, to water, irrigate",3078,IRRIGATE
51_togivedrinktogivewaterwater,"to give drink, to give water, water",948,WATER
52_toprovidewaterirrigateland,"to provide water, irrigate land",,
53_toprovideenoughwater,to provide enough water,,
54_toirrigate,to irrigate,3078,IRRIGATE
55_nailclaw,"nail, claw",72,CLAW
56_claw,claw,72,CLAW
57_nail,nail,1896,FINGERNAIL OR TOENAIL
58_fingernailtoenail,"fingernail, toenail",1896,FINGERNAIL OR TOENAIL
59_nailclawtalon,"nail, claw, talon",72,CLAW
60_clawnail,"claw, nail",2128,CLAW OR NAIL
61_fingertoenail,"(finger, toe) nail",1896,FINGERNAIL OR TOENAIL
62_fingernail,fingernail,1258,FINGERNAIL
63_fingernailclaw,"fingernail, claw",2128,CLAW OR NAIL
64_nailofafingerortoeclaw,"nail of a finger or toe, claw",72,CLAW
65_fingerortoenail,finger or toenail,1303,FINGER
66_tobeabundantwatertodrinkabundantly,to be abundant (water); to drink abundantly,,
67_todrinkonesfillberefreshed,"to drink one's fill, be refreshed",,
68_todrinksatietytogetdrunk,to drink satiety; to get drunk,,
69_todrinkonesfillsatisfyonesthirst,to drink one's fill; satisfy one's thirst,,
70_todrinkonesfill,to drink one's fill,,
71_toprovidewatersupply,to provide watersupply,,
72_irrigationsystem,irrigation system,,
73_tohavehadonesthirstslakeddrinktorepletion,"to have had one's thirst slaked, drink to repletion",,
74_tohavehadenoughtodrink,to have had enough to drink,,
75_tohavehadenoughwater,to have had enough water,,
76_ear,ear,1247,EAR
77_earbayoftheseahandleopeningofabottle,"ear, bay of the sea, handle, opening of a bottle",1247,EAR
78_ohrear,Ohr (ear),,
79_earhandle,"ear, handle",1247,EAR
80_toeat,to eat,1336,EAT
81_toconsumetodevour,"to consume, to devour",2787,CONSUME (DRINK OR EAT)
82_toeattoconsumetoitch,"to eat, to consume; to itch",1336,EAT
83_iessentoeat,I. essen (to eat),,
84_toswallow,to swallow,897,SWALLOW
85_toswallowdevour,"to swallow, devour",897,SWALLOW
86_todevour,to devour,,
87_toswallowupdevour,"to swallow up, devour",,
88_foodbreadgrain,"food, bread, grain",256,FOOD
89_bread,bread,1368,BREAD
90_grainfodder,"grain, fodder",605,GRAIN
91_grainfood,"grain, food",256,FOOD
92_foodbreadcorn,"food, bread, corn",256,FOOD
93_corn,corn,506,MAIZE
94_graincereals,"grain, cereal(s)",605,GRAIN
95_grainfoodcerealscrops,"grain, food, cereal(s), crop(s)",256,FOOD
96_cereal,cereal,,
97_cerealsorghum,"cereal, sorghum",347,SORGHUM
98_cerealbarley,"cereal, barley",932,BARLEY
99_meat,meat,634,MEAT
100_1toeat2toenjoytoconsumewealth,"1. to eat; 2. to enjoy, to consume (wealth)",,
101_eye,eye,1248,EYE
102_tosee,to see,1409,SEE
103_oureyes,our eyes,,
104_eyesight,"eye, sight",1248,EYE
105_eyeappearancelookspring,"eye, appearance, look; spring",1248,EYE
106_eyespringbudbulbappearancesurface,"eye; spring; bud, bulb; appearance, surface",1248,EYE
107_auge,Auge,,
108_augeeye,Auge (eye),,
109_augequellebrunnenwasserhahneyespringwelltap,"Auge; Quelle, Brunnen, Wasserhahn (eye; spring, well, tap)",1537,SPRINGTIME
110_sight,sight,2519,SEEING (VISUAL SENSE)
111_eyespringofwaterspy,eye; spring of water; spy,1248,EYE
112_full,full,1429,FULL
113_fullcoveredcomplete,"full, covered, complete",1429,FULL
114_fullplenespelling,"full, plene spelling",1429,FULL
115_tobefull,to be full,1429,FULL
116_tofillup,to fill up,,
117_tofillbefull,"to fill, be full",2006,FILL
118_ifullentofill,I. füllen (to fill),,
119_vollfull,voll (full),,
120_tofill,to fill,2006,FILL
121_befull,be full,1429,FULL
122_tobefilled,to be filled,,
123_hair,hair,1040,HAIR
124_pelocapelli,pelo; capelli,,
125_wool,wool,964,WOOL
126_hairinessbodyhairhairycovering,"hairiness, body hair, hairy covering",189,HAIR (BODY)
127_hairfeathers,hair; feathers,1040,HAIR
128_haare,Haare,,
129_haarhair,Haar (hair),,
130_coiffuredhair,coiffured hair,,
131_hairofbodyorhead,hair of body or head,1256,HEAD
132_hairwool,"hair, wool",1040,HAIR
133_1hair2wool,1. hair; 2. wool,,
134_hand,hand,1277,HAND
135_armsideedgeborder,"arm; side; edge, border",1673,ARM
136_forearmhandpowerviolencepossession,"forearm, hand; power, violence, possession",1277,HAND
137_handpossession,"hand, possession",1277,HAND
138_handarmforepawpower,"hand, arm, forepaw; power",1277,HAND
139_handsidepower,"hand, side, power",1277,HAND
140_handseltenerarm,"Hand, (seltener) Arm",1277,HAND
141_handseitehandside,"Hand, Seite (hand, side)",1277,HAND
142_handhand,Hand (hand),1277,HAND
143_handhandle,"hand, handle",1277,HAND
144_handarm,"hand, arm",2121,ARM OR HAND
145_handarmforepaw,"hand, arm, forepaw",1277,HAND
146_head,head,1256,HEAD
147_headservantslavetopsummitbeginning,"head; servant, slave; top, summit; beginning",1256,HEAD
148_sag,SAG,,
149_headpersonbeginningleaderchief,"head; person; beginning; leader, chief",1256,HEAD
150_headbeginning,head; beginning,1256,HEAD
151_headtop,"head, top",1256,HEAD
152_headtopsummitpointbeginning,"head; top, summit; point; beginning",1256,HEAD
153_kopf,Kopf,,
154_hauptkopfendespitzeheadendtop,"Haupt, Kopf; Ende, Spitze (head; end, top)",742,END (OF SPACE)
155_1head2topupperpart,"1. head; 2. top, upper part",,
156_skull,skull,1605,SKULL
157_sumsagxigi,= Sum. SAGxIGI,,
158_skullcrown,"skull, crown",1605,SKULL
159_headskull,"head, skull",1256,HEAD
160_headleader,"head, leader",1256,HEAD
161_headskullvertex,"head, skull, vertex",1256,HEAD
162_partofthebackoftheneckthatisbetweentheears,part of the back of the neck that is between the ears,,
163_frontforwardchiefhead,"front, forward, chief, head",1256,HEAD
164_tohear,to hear,1408,HEAR
165_toheartolistentoobey,"to hear, to listen, to obey",1408,HEAR
166_toheartoobeytounderstand,to hear; to obey; to understand,1408,HEAR
167_toheartolisten,"to hear, to listen",1408,HEAR
168_tohearlistentotohearkentoobey,"to hear, listen to; to hearken; to obey",1408,HEAR
169_tohearlisten,"to hear, listen",1408,HEAR
170_ihorentohear,I. hören (to hear),,
171_heart,heart,1223,HEART
172_heartonesinnerselfinclinationdispositionwillintentionreason,"heart; one's inner self; inclination, disposition, will, intention; reason",1223,HEART
173_heartmind,"heart, mind",1223,HEART
174_heartstomach,"heart, stomach",1223,HEART
175_heartinsideofthebodycenterpithinsidecake,"heart, inside of the body; center, pith, inside; cake",1223,HEART
176_heartmindcenter,"heart, mind, center",1223,HEART
177_herz,Herz,,
178_herzheart,Herz (heart),,
179_whatisintheinsideunderstandingintelligencemind,"what is in the inside; understanding, intelligence, mind",1562,MIND
180_palmheart,palmheart,,
181_heartmind,heart; mind,1223,HEART
182_heartbelly,heart; belly,1223,HEART
183_heartmiddleofthebody,"heart, middle of the body",1223,HEART
184_middlecentermiddlepart,"middle, center, middle part",1093,MIDDLE
185_thoughtwish,"thought, wish",2975,THOUGHT
186_mindintelligencememoryheartintention,"mind, intelligence, memory; heart; intention",1223,HEART
187_senseintelligencereasonmindmemorymoraleheart,"sense, intelligence, reason, mind; memory; morale; heart",1223,HEART
188_horn,horn,1393,HORN (ANATOMY)
189_hornvesselcorner,"horn, vessel, corner",1393,HORN (ANATOMY)
190_hornhorn,Horn (horn),1393,HORN (ANATOMY)
191_i,I,1209,I
192_ichi,ich (I),,
193_knee,knee,1371,KNEE
194_kneelap,"knee, lap",1371,KNEE
195_dusuff3msknee,(du. suff. 3ms) knee,1371,KNEE
196_kneebowingdowngenuflectionmiddlepartofplow,"knee; bowing down, genuflection; middle part of plow",1371,KNEE
197_knieknee,Knie (knee),,
198_tokneel,to kneel,66,KNEEL
199_theunitbetweentwojointsinafingersugarcane,"the unit between two joints (in a finger, sugar cane)",146,SUGAR CANE
