NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
1	dog	2009	DOG	noun
2	Hund (dog)			
3	wolf; dog	2009	DOG	noun
4	dog, wolf	2009	DOG	noun
5	all	98	ALL	other
6	all, the whole; everyone	98	ALL	other
7	all, every; so much	98	ALL	other
8	jeder, jede, alle, ganz (each, all, whole)	98	ALL	other
9	all, anyone	98	ALL	other
10	all; whoever	98	ALL	other
11	each, every	98	ALL	other
12	to assemble	3638	ASSEMBLE (GET TOGETHER)	verb
13	to assemble, to congregate; to gather, collect	7	GATHER	verb
14	assembly			
15	whole, totality	2277	WHOLE	adjective
16	assembly, banquet			
17	banquet			
18	feast, banquet	131	FESTIVAL	noun
19	to boast, to glory	101	BOAST	verb
20	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein			
21	to enter into partnership, to associate with			
22	to engage, to betroth, to espouse			
23	together	2482	TOGETHER	other
24	to bite	1403	BITE	verb
25	to bite; to incite, provoke	1403	BITE	verb
26	I. beissen (to bite)			
27	to undo, to untwist; to dissolve, to break a covenant			
28	to remove something from its place			
29	abrogation			
30	one who violates; violation			
31	to make a false oath			
32	blood	946	BLOOD	noun
33	Blut (blood)			
34	blut (blood)			
35	to die	1494	DIE	verb
36	I. sterben (to die)			
37	to die; to be eclipsed	1494	DIE	verb
38	to put to death			
39	death	910	DEATH	noun
40	to die, to be numb	1494	DIE	verb
41	to drink	1401	DRINK	verb
42	to drink, to be watered, to be irrigated	1401	DRINK	verb
43	to drink, be satisfied	1401	DRINK	verb
44	I. trinken (to drink)			
45	libation			
46	to irrigate, to quench one’s thirst	3078	IRRIGATE	verb
47	to give drink, to water, to irrigate	3078	IRRIGATE	verb
48	(nip., hip.) to provide drink for, to irrigate	3078	IRRIGATE	verb
49	(aph.) to give drink, to irrigate	3078	IRRIGATE	verb
50	to give drink, to water, irrigate	3078	IRRIGATE	verb
51	to give drink, to give water, water	948	WATER	noun
52	to provide water, irrigate land			
53	to provide enough water			
54	to irrigate	3078	IRRIGATE	verb
55	nail, claw	72	CLAW	noun
56	claw	72	CLAW	noun
57	nail	1896	FINGERNAIL OR TOENAIL	noun
58	fingernail, toenail	1896	FINGERNAIL OR TOENAIL	noun
59	nail, claw, talon	72	CLAW	noun
60	claw, nail	2128	CLAW OR NAIL	noun
61	(finger, toe) nail	1896	FINGERNAIL OR TOENAIL	noun
62	fingernail	1258	FINGERNAIL	noun
63	fingernail, claw	2128	CLAW OR NAIL	noun
64	nail of a finger or toe, claw	72	CLAW	noun
65	finger or toenail	1303	FINGER	noun
66	to be abundant (water); to drink abundantly			
67	to drink one's fill, be refreshed			
68	to drink satiety; to get drunk	3980	GET DRUNK	verb
69	to drink one's fill; satisfy one's thirst			
70	to drink one's fill			
71	to provide watersupply			
72	irrigation system			
73	to have had one's thirst slaked, drink to repletion			
74	to have had enough to drink			
75	to have had enough water			
76	ear	1247	EAR	noun
77	ear, bay of the sea, handle, opening of a bottle	1247	EAR	noun
78	Ohr (ear)			
79	ear, handle	1247	EAR	noun
80	to eat	1336	EAT	verb
81	to consume, to devour	2787	CONSUME (DRINK OR EAT)	verb
82	to eat, to consume; to itch	1336	EAT	verb
83	I. essen (to eat)			
84	to swallow	897	SWALLOW	verb
85	to swallow, devour	897	SWALLOW	verb
86	to devour			
87	to swallow up, devour			
88	food, bread, grain	256	FOOD	noun
89	bread	1368	BREAD	noun
90	grain, fodder	605	GRAIN	noun
91	grain, food	256	FOOD	noun
92	food, bread, corn	256	FOOD	noun
93	corn	506	MAIZE	noun
94	grain, cereal(s)	605	GRAIN	noun
95	grain, food, cereal(s), crop(s)	256	FOOD	noun
96	cereal			
97	cereal, sorghum	347	SORGHUM	noun
98	cereal, barley	932	BARLEY	noun
99	meat	634	MEAT	noun
100	1. to eat; 2. to enjoy, to consume (wealth)			
101	eye	1248	EYE	noun
102	to see	1409	SEE	verb
103	our eyes			
104	eye, sight	1248	EYE	noun
105	eye, appearance, look; spring	1248	EYE	noun
106	eye; spring; bud, bulb; appearance, surface	1248	EYE	noun
107	Auge			
108	Auge (eye)			
109	Auge; Quelle, Brunnen, Wasserhahn (eye; spring, well, tap)	1537	SPRINGTIME	noun
110	sight	2519	SEEING (VISUAL SENSE)	noun
111	eye; spring of water; spy	1248	EYE	noun
112	full	1429	FULL	adjective
113	full, covered, complete	1429	FULL	adjective
114	full, plene spelling	1429	FULL	adjective
115	to be full	1429	FULL	adjective
116	to fill up			
