ID	Name	NameInSource	Glottocode	ISO639P3code	Latitude	Longitude	Family
ps	Semitic	PS	semi1276				Afro-Asiatic
akkadian	Akkadian	Akkadian	akka1240	akk	33.1	44.1	Afro-Asiatic
ugaritic	Ugaritic	Ugaritic	ugar1238	uga	35.6	35.78	Afro-Asiatic
phoenician	Phoenician	Phoenician	phoe1239	phn	34.12	35.65	Afro-Asiatic
hebrew	Modern Hebrew	Hebrew	hebr1245	heb	31.1056	35.0179	Afro-Asiatic
officialaramaic	Middle-Modern Aramaic	Official Aramaic	midd1367				Afro-Asiatic
hatran	Hatran	Hatran	hatr1234				Afro-Asiatic
jewishpalestinianaramaic	Jewish Palestinian Aramaic	Jewish Palestinian Aramaic	pale1261	jpa			Afro-Asiatic
christianpalestinianaramaic	Christian Palestinian Aramaic	Christian Palestinian Aramaic	chri1239				Afro-Asiatic
samaritan	Samaritan	Samaritan	sama1313	smp	32.0817	35.4487	Afro-Asiatic
jewishbabylonianaramaic	Jewish Babylonian Aramaic (ca. 200-1200 CE)	Jewish Babylonian Aramaic	jewi1240	tmr	32.273	44.245	Afro-Asiatic
syriac	Classical Syriac	Syriac	clas1252	syc	37.1129	42.1432	Afro-Asiatic
mandaic	Classical Mandaic	Mandaic	clas1253	myz	36.1203	49.5659	Afro-Asiatic
maalula	Maaloula	Maalula	malu1250				Afro-Asiatic
mlahso	Mlahsô	Mlaḥso	mlah1239	lhs	37.0311	41.2209	Afro-Asiatic
turoyo	Turoyo	Turoyo	turo1239	tru	37.2275	42.1451	Afro-Asiatic
arabic	Arabic	Arabic	arab1395				Afro-Asiatic
sabaic	Sabaic	Sabaic	saba1279	xsa	15.42	45.35	Afro-Asiatic
hadramitic	Hadrami	Hadramitic	hadr1235	xhd	15.528	47.603	Afro-Asiatic
geez	Geez	Geez	geez1241	gez	10.1342	40.6821	Afro-Asiatic
tigre	Tigre	Tigre	tigr1270	tig	17.3494	38.2233	Afro-Asiatic
tigrinya	Tigrinya	Tigrinya	tigr1271	tir	15.3359	38.9266	Afro-Asiatic
amharic	Amharic	Amharic	amha1245	amh	11.708182	39.543456	Afro-Asiatic
mehri	Mehri	Mehri	mehr1241	gdq	16.793	52.473	Afro-Asiatic
jibbali	Jibbali	Jibbali	sheh1240	shv	17.29154	53.99526	Afro-Asiatic
harsusi	Harsusi	Harsusi	hars1241	hss	19.6511	56.1562	Afro-Asiatic
soqotri	Soqotri	Soqotri	soqo1240	sqt	12.4892	53.9168	Afro-Asiatic
harari	Harari	Harari	hara1271	har	9.30485	42.1332	Afro-Asiatic
soddo	Soddo	Soddo	sodd1242				Afro-Asiatic
palmyrean	Palmyrene	Palmyrean	palm1242				Afro-Asiatic
qatabanian	Qatabanian	Qatabanian	qata1238	xqt	14.8	45.733333	Afro-Asiatic
ebla	Eblaite	Ebla	ebla1238	xeb	35.798	36.798	Afro-Asiatic
minaean	Minaean	Minaean	mina1279	inm	16.166667	44.672778	Afro-Asiatic
