Grapheme	IPA	Frequence	Codepoints
a	a	7687	U+0061
r	r	6035	U+0072
æ	æ	5123	U+00e6
b	b	4334	U+0062
m	m	3693	U+006d
n	n	3652	U+006e
l	l	3643	U+006c
t	t	3200	U+0074
-	NULL	3032	U+002d
aː	aː	2496	U+0061 U+02d0
ə	ə	2469	U+0259
d	d	2357	U+0064
u	u	2084	U+0075
qˤ	qˤ	2067	U+0071 U+02e4
s	s	1996	U+0073
ʔ	ʔ	1971	U+0294
j	j	1953	U+006a
ħ	ħ	1913	U+0127
ʕ	ʕ	1727	U+0295
i	i	1678	U+0069
ʃ	ʃ	1661	U+0283
f	f	1618	U+0066
k	k	1543	U+006b
g	g	1519	U+0067
w	w	1369	U+0077
p	p	1361	U+0070
tˤ	tˤ	1300	U+0074 U+02e4
e	e	1012	U+0065
h	h	914	U+0068
sˤ	sˤ	869	U+0073 U+02e4
z	z	831	U+007a
x	x	644	U+0078
o	o	644	U+006f
iː	iː	469	U+0069 U+02d0
eː	eː	442	U+0065 U+02d0
oː	oː	440	U+006f U+02d0
uː	uː	353	U+0075 U+02d0
ɬ	ɬ	327	U+026c
é	é	314	U+00e9
ɣ	ɣ	308	U+0263
θ	θ	299	U+03b8
á	á	282	U+00e1
ɛ	ɛ	208	U+025b
q	q	190	U+0071
ð	ð	188	U+00f0
č̣	č̣	174	U+010d U+0323
ɔ́	ɔ́	174	U+0254 U+0301
í	í	140	U+00ed
ǝ	ə	130	U+01dd
û	û	106	U+00fb
ɬˤ	ɬˤ	103	U+026c U+02e4
ñ	ɲ	79	U+00f1
ú	ú	72	U+00fa
₁	¹	72	U+2081
č	č	71	U+010d
ă	ă	68	U+0103
ðˤ	ðˤ	67	U+00f0 U+02e4
qˤʷ	qʷˤ	66	U+0071 U+02e4 U+02b7
gʷ	gʷ	65	U+0067 U+02b7
θˤ	θˤ	62	U+03b8 U+02e4
ó	ó	61	U+00f3
dˤ	dˤ	57	U+0064 U+02e4
ɬ̬ˤ	ɬ̬ˤ	56	U+026c U+032c U+02e4
ɔ	ɔ	53	U+0254
bʷ	bʷ	51	U+0062 U+02b7
ẓ̂	ẓ̂	48	U+1e93 U+0302
ḷ	l̩	39	U+1e37
₂	²	39	U+2082
fʷ	fʷ	38	U+0066 U+02b7
ù	ù	32	U+00f9
ž	ž	30	U+017e
ḇ	b̠	29	U+1e07
â	â	28	U+00e2
s̃	s̃	27	U+0073 U+0303
kʷ	kʷ	26	U+006b U+02b7
oʰ	oʰ	26	U+006f U+02b0
ε	ɛ	25	U+03b5
æː	æː	25	U+00e6 U+02d0
mʷ	mʷ	24	U+006d U+02b7
ɛ̄	ɛ̄	19	U+025b U+0304
ö́	ö́	18	U+00f6 U+0301
à	à	17	U+00e0
ɔ̄	ɔ̄	16	U+0254 U+0304
ì	ì	15	U+00ec
ň	ň	15	U+0148
eʰ	eʰ	13	U+0065 U+02b0
æ̃	æ̃	13	U+00e6 U+0303
xʷ	xʷ	12	U+0078 U+02b7
m̠	m̠	11	U+006d U+0320
m̲	m̲	10	U+006d U+0332
ə́	ə́	9	U+0259 U+0301
ã	ã	9	U+00e3
ŏ	ŏ	9	U+014f
₃	³	9	U+2083
ĩ	ĩ	8	U+0129
ũ	ũ	8	U+0169
ʸh	ʲh	7	U+02b8 U+0068
ê	ê	7	U+00ea
k̠	k̠	6	U+006b U+0320
v	v	6	U+0076
qˤ̌	qˤ̌	6	U+0071 U+02e4 U+030c
n̄	n̄	6	U+006e U+0304
sˤ̃	s̃ˤ	5	U+0073 U+02e4 U+0303
sˤ̌	sˤ̌	5	U+0073 U+02e4 U+030c
ə̃	ə̃	5	U+0259 U+0303
₁₆	¹₆	5	U+2081 U+2086
õ	õ	5	U+00f5
ǝ̃	ə̃	5	U+01dd U+0303
ô	ô	5	U+00f4
aː̃	ãː	5	U+0061 U+02d0 U+0303
î	î	5	U+00ee
aʰ	aʰ	4	U+0061 U+02b0
ɨ	ɨ	4	U+0268
pʷ	pʷ	4	U+0070 U+02b7
2	<?>	4	U+0032
è	è	3	U+00e8
ã̄	ã̄	3	U+00e3 U+0304
₅	⁵	3	U+2085
₁₇	¹₇	3	U+2081 U+2087
