ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID
	PS	dog	*kalb-		(SED II No. 115)	1
1	Akkadian	dog	kalbu		(CAD 68, AHw. 424)	1
3	Ugaritic	dog	klb		(DUL 439)	1
6486	Phoenician	dog	klb		(Tomback 1978: 192)	1
474	Hebrew	dog	käläb		(HALOT 476)	1
6485	Official Aramaic	dog	klb		(DNWSI 509)	1
6487	Hatran	dog	klb		(DNWSI 509)	1
6481	Jewish Palestinian Aramaic	dog	klb		(DJPA 258)	1
6480	Christian Palestinian Aramaic	dog	klb		(DCPA 178)	1
6483	Samaritan	dog	klb		(DSA 387)	1
6482	Jewish Babylonian Aramaic	dog	kalbā		(DJBA 580)	1
475	Syriac	dog	kalbā		(LSyr. 328, SL 622)	1
6484	Mandaic	dog	kalba		(MD 197)	1
6488	Maalula	dog	ḫalpa		(GNDM 44)	1
6489	Mlaḥso	Hund (dog)	kalbo		(Jastrow 1994: 179)	1
6490	Turoyo	Hund (dog)	kalbo		(TW 249)	1
2	Arabic	dog	kalb-		(Lane 2625)	1
5632	Sabaic	dog	klb		(Robin–Gajda 1994: 116)	1
21979	Hadramitic	dog	klb		(Pirenne 1990 93)	1
5633	Geez	dog	kalb		(CDG 282, LLA 818, Gr. 256)	1
6491	Tigre	dog	kälǝb		(WTS 391)	1
6492	Tigrinya	dog	kälbi		(TED 1563)	1
6493	Amharic	dog	kälb		(AED 1370)	1
968	Mehri	wolf; dog	kawb		(ML 208)	1
2238	Jibbali	dog, wolf	kób		(JL 22)	1
21980	Harsusi	wolf; dog	kawb		(HL 68)	1
47	Soqotri	dog, wolf	kaḷb		(LS 218; CSOL II 499)	1
	PS	all	*kal-/*kull-			2
5731	Akkadian	all	kalû		(CAD K 87, AHw. 427)	2
486	Ugaritic	all	kl		(DUL 436)	2
464	Hebrew	all, the whole; everyone	kōl		(HALOT 474)	2
15775	Jewish Babylonian Aramaic	all	kullā		(DJBA 559)	2
465	Syriac	all, every; so much	kul		(LSyr. 326, SL 622)	2
15776	Mandaic	all	kul		(MD 155)	2
15676	Turoyo	jeder, jede, alle, ganz (each, all, whole)	kul		(RW 281)	2
5280	Arabic	all, anyone	kull-		(BK 918, Lane 3002)	2
5323	Geez	all	kʷəll		(CDG 281)	2
5325	Tigre	all	kəl		(WTS 389)	2
5326	Tigrinya	all	kʷəllu		(TED 1555)	2
5327	Amharic	all	hullu		(AED 2)	2
5329	Harari	all	kullu-		(EDH 92)	2
5328	Soddo	all	kull-əm		(EDG 341)	2
12	Mehri	all; whoever	kāl		(ML 207)	2
3505	Jibbali	all	kɔ(h)l		(JL 129)	2
11	Soqotri	each, every	kaḷ		(LS 219; CSOL II 498)	2
	PS	to assemble	*pḫr		(Kogan 2015:28)	3
14	Akkadian	to assemble, to congregate; to gather, collect	paḫāru		(CAD P 23, AHw. 810)	3
21	Ugaritic	assembly	pḫr		(DUL 669, Watson 2007:99)	3
22	Ugaritic	whole, totality	pḫyr		(DUL 669)	3
20	Phoenician	assembly	mpḥrt		(DNWSI 673)	3
23507	Palmyrean	assembly, banquet	pḥr		(DNWSI 907)	3
23508	Hatran	assembly, banquet	pḥr		(DNWSI 907)	3
13770	Syriac	banquet	puḥrā		(LSyr. 563, SL 1161)	3
13771	Mandaic	feast, banquet	puhra		(MD 367)	3
16748	Arabic	to boast, to glory	fḫr		(Lane 2349)	3
16747	Arabic	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein	faḫūr-		(Lane 2349)	3
19	Qatabanian	to enter into partnership, to associate with	f-t-ḫr		(LIQ 129)	3
11979	Geez	to engage, to betroth, to espouse	faḫara		(CDG 158)	3
11976	Mehri	together	fáḫrəh		(ML 110)	3
11977	Jibbali	together	fáḫrəh		(JL 67)	3
3689	Soqotri	all	fáḥre		(LS 335; CSOL I 533; CSOL II 454)	3
	PS	to bite	*nṯk/*nkṯ		(CDG 402)	4
5281	Akkadian	to bite	našāku		(CAD N₂ 53, AHw. 758)	4
25529	Ebla	to bite	na-ša-gúm /naṯākum/		(VE 195, Kogan–Krebernik 2021b: 689)	4
487	Ugaritic	to bite	nṯk		(DUL 653)	4
466	Hebrew	to bite	nšk		(HALOT 729)	4
15805	Jewish Babylonian Aramaic	to bite	nkt		(DJBA 755)	4
467	Syriac	to bite; to incite, provoke	nkt		(LSyr. 430, SL 921)	4
15806	Mandaic	to bite	nkt		(MD 301)	4
15803	Turoyo	I. beissen (to bite)	nkt		(RG 186)	4
5321	Arabic	to undo, to untwist; to dissolve, to break a covenant	nkṯ		(Lane 2847)	4
32	Sabaic	to remove something from its place	nkṯ		(SD 96)	4
31	Minaean	abrogation	mnkṯt		(LM 68)	4
33	Qatabanian	one who violates; violation	mnkṯ		(LIQ 106)	4
5331	Geez	to bite	nasaka		(CDG 402)	4
5332	Tigre	to bite	näkšä		(WTS 333)	4
5333	Tigrinya	to bite	näkäsä		(TED 1341)	4
5334	Amharic	to bite	näkkäsä		(AED 1045)	4
5336	Harari	to bite	näxäsä		(EDH 118)	4
5335	Soddo	to bite	näkkäsä		(EDG 455)	4
18	Mehri	to bite	nəṯk		(ML 305)	4
29	Jibbali	to make a false oath	nkɔṯ		(JL 189)	4
5320	Harsusi	to bite	neṯōk		(HL 99)	4
	PS	blood	*dam-, *ˀa-dam-		(SED I No. 50)	5
5282	Akkadian	blood	damu		(CAD D 75, AHw. 158)	5
488	Ugaritic	blood	dm		(DUL 272)	5
468	Hebrew	blood	dām		(HALOT 224)	5
5284	Official Aramaic	blood	dm		(DNWSI 251)	5
5285	Jewish Palestinian Aramaic	blood	ˀdm		(DJPA 35)	5
5288	Christian Palestinian Aramaic	blood	ˀdm, det. ˀdmˀ, ˀydmˀ, dmˀ		(DCPA 5)	5
5289	Samaritan	blood	ˀdm		(DSA 188)	5
5286	Jewish Babylonian Aramaic	blood	dmā		(DJBA 340)	5
469	Syriac	blood	dmā		(LSyr. 156, SL 307)	5
5287	Mandaic	blood	dma, zma, adma, ˁzma		(MD 111, 168)	5
5291	Mlaḥso	Blut (blood)	dmo		(Jastrow 1994 172)	5
5290	Turoyo	blut (blood)	admo		(RW 30)	5
5292	Arabic	blood	dam­-		(BK 1 736, Lane 916)	5
5293	Sabaic	blood	dm		(SD 36)	5
5294	Geez	blood	dam		(CDG 133)	5
5295	Tigre	blood	däm, dämät		(WTS 514)	5
5296	Tigrinya	blood	däm		(TED 2067)	5
5297	Amharic	blood	däm		(AED 1716)	5
5298	Harari	blood	däm		(EDH 56)	5
13108	Gurage	blood	däm		(EDG 206)	5
	PS	to die	*mwt		(SED I No. 43ᵥ)	6
5300	Akkadian	to die	mâtu		(CAD M₁ 461, AHw. 634)	6
493	Ugaritic	to die	mt		(DUL 596)	6
472	Hebrew	to die	mwt		(HALOT 562)	6
5301	Samalian	to die	mwt/myt		(DNWSI 605)	6
5304	Old Aramaic	to die	mwt/myt		(DNWSI 605)	6
5303	Official Aramaic	to die	mwt/myt		(DNWSI 605)	6
5302	Palmyrean	to die	mwt/myt		(DNWSI 605)	6
5305	Nabataean	to die	mwt/myt		(DNWSI 605)	6
5306	Hatran	to die	mwt/myt		(DNWSI 605)	6
5307	Jewish Palestinian Aramaic	to die	mwt		(DJPA 297)	6
5308	Jewish Babylonian Aramaic	to die	mwt		(DJBA 650)	6
473	Syriac	to die	mwt		(LSyr. 378, SL 731)	6
5309	Mandaic	to die	mut		(MD 263)	6
15855	Turoyo	I. sterben (to die)	myṯ		(RG 511)	6
10008	Sabaic	to die	mwt		(SD 89)	6
5299	Geez	to die	mota		(CDG 375)	6
5310	Tigre	to die	motä		(WTS 134)	6
5311	Tigrinya	to die	motä		(TED 472)	6
5312	Amharic	to die	motä		(AED 304)	6
5314	Harari	to die	mōta		(EDH 114)	6
10009	Selti	to die	mōtä		(EDG 435)	6
10011	Wolane	to die	motä		(EDG 435)	6
10012	Zway	to die	mūtä		(EDG 435)	6
10013	Ezha	to die	mʷätä		(EDG 435)	6
10017	Endegen	to die	mōdä		(EDG 435)	6
10018	Ennemor	to die	mōdä		(EDG 435)	6
10010	Gyeto	to die	mōtä		(EDG 435)	6
10014	Muher	to die	mʷätä		(EDG 435)	6
10015	Masqan	to die	mʷätä		(EDG 435)	6
10016	Gogot	to die	mʷätä		(EDG 435)	6
5313	Soddo	to die	motä		(EDG 435)	6
967	Mehri	to die; to be eclipsed	mōt		(ML 275)	6
10019	Jibbali	to put to death	emyét		(JL 176)	6
10020	Jibbali	death	mít		(JL 176)	6
10021	Harsusi	to die, to be numb	mōt		(HL 92)	6
10022	Soqotri	death	mī		(LS 237; Kogan 2020:448; Belozerova et al. 2023:569)	6
	PS	to drink	*šty		(CDG 518)	7
5734	Akkadian	to drink	šatû		(CAD Š₂ 207, AHw. 1202)	7
495	Ugaritic	to drink	šty		(DUL 853)	7
476	Hebrew	to drink	šty		(HALOT 1667)	7
5684	Jewish Palestinian Aramaic	to drink	šty		(DJPA 569)	7
5685	Christian Palestinian Aramaic	to drink	šty		(DCPA 446)	7
5683	Samaritan	to drink	šty		(DSA 936)	7
5681	Jewish Babylonian Aramaic	to drink	šty		(DJBA 1184)	7
477	Syriac	to drink, to be watered, to be irrigated	šty		(LSyr. 811, SL 1614)	7
15864	Syriac	to drink	šty		(LSyr. 811, SL 1614)	7
5686	Mandaic	to drink, be satisfied	šta		(MD 476)	7
15863	Turoyo	I. trinken (to drink)	šty		(JL 180)	7
11282	Sabaic	libation	ms₁ty		(SD 129)	7
5315	Geez	to drink	satya		(CDG 438)	7
5316	Tigre	to drink	säta		(WTS 186)	7
5317	Tigrinya	to drink	sätäyä		(TED 715)	7
5318	Argobba	to drink	šäčča		(Leslau 1997: 220)	7
5319	Harari	to drink	säča		(EDH 137)	7
	PS	to irrigate, to quench one’s thirst	*šḳy		(HALOT 1639; Kogan 2011: 238)	9
5354	Akkadian	to give drink, to water, to irrigate	šaḳû		(CAD Š₂ 24, AHw. 1181)	9
5352	Hebrew	(nip., hip.) to provide drink for, to irrigate	šḳy		(HALOT 1639)	9
5356	Jewish Palestinian Aramaic	(aph.) to give drink, to irrigate	šḳy		(DJPA 564)	9
5358	Christian Palestinian Aramaic	to give drink, to water, irrigate	šḳy (aph.)		(DCPA 442)	9
5360	Syriac	(aph.) to give drink, to irrigate	šḳy		(LSyr. 798, SL 1593)	9
5357	Mandaic	to give drink, to give water, water	šḳa		(MD 473)	9
5355	Sabaic	to provide water, irrigate land	sḳy		(SD 128)	9
11378	Minaean	to provide enough water	s₁ḳy		(LM 83)	9
11379	Qatabanian	to provide enough water	s₁ḳy		(LQ 162)	9
11380	Geez	to provide enough water	saḳaya		(CDG 511)	9
11287	Gurage	to drink	säč̣ä		(EDG 534)	9
11381	Mehri	to provide enough water	həḳū		(ML 155)	9
156	Mehri	to drink	təḳ		(ML 155)	9
11382	Jibbali	to provide enough water	šéḳé		(JL 262)	9
2239	Jibbali	to drink	šúṣ̃i		(JL 262)	9
11383	Soqotri	to provide enough water	héṣ̌e		(LS 142)	9
7250	Soqotri	to irrigate	ʸháṣ̌e		(LS 142; CSOL I 695; CSOL II 629; Naumkin et al. 2016a:47; Naumkin–Kogan 2021 :529)	9
	PS	nail, claw	*ṯ̣ipr-		(SED I No. 285)	10
6479	Akkadian	claw	ṣupru		(CAD Ṣ 250, AHw. 1113)	10
470	Hebrew	nail	ṣippōrän		(HALOT 1051)	10
25718	Biblical Aramaic	nail	ṭipr-ṓhī		(HALOT 1716)	10
25719	Jewish Palestinian Aramaic	nail	ṭpr		(DJPA 230)	10
15905	Jewish Babylonian Aramaic	fingernail, toenail	ṭuprā		(DJBA 498)	10
471	Syriac	nail, claw, talon	ṭeprā		(LSyr. 286, SL 548)	10
15906	Mandaic	claw, nail	ṭupra		(MD 178)	10
25720	Maalula	nail	ṭefra		(GNDM 98)	10
25721	Hertevin	(finger, toe) nail	ṭepra		(J Hert. 201)	10
8958	Arabic	nail	ḏ̣ifr-		(BK 2 135, Lane 1912)	10
5687	Geez	claw	ṣəfr		(CDG 549)	10
5688	Tigre	claw	ṣəfər		(WTS 650)	10
5689	Tigrinya	claw	ṣəfri		(TED 2627)	10
