ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
3302	ps	'young of animals, larva'	*ḥarSap-	ħar-ap-	ħ a r a p		1628	ħ a r - a p - -
3008	ps	(Achilles) tendon; sinew, muscle (of leg)	*ŝVry/w/ˁ-, *ŝVry/ ˁ-ān-	ɬ-rj	ɬ r j		1483	ɬ - - r - - j - - -
985	ps	(a big poplar)	*ˀayl(-ān)-	ʔajl-	ʔ a j l		414	ʔ a j - l -
1106	akkadian	(a bird)	a-IA-ú MUŠEN = a-a-[ú]	a----ú	a ú		494	- a - - ú -
3553	akkadian	(a bird)	ḳú-ḳí-a-nu-um	qˤú-qˤí-a-nu-um	qˤ ú qˤ í a n u u m		1732	qˤ ú qˤ í a n u u m
416	akkadian	(a characteristic such as brilliance)	šērtu	ʃeːrtu	ʃ eː r t u		95	- - ʃ eː r - t u -
1297	akkadian	(a disease)	laˀbu	laʔbu	l a ʔ b u		550	l a ʔ - b u
1591	akkadian	(a lizard or snake)	urnu	urnu	u r n u		661	- u r - n u
1582	ps	(a lizard)	*ḥVmṭ-	ħ-mtˤ-	ħ m tˤ		659	ħ - - m - tˤ - - -
1586	ps	(a lizard)	*ḥVrd/ḏān-	ħ-rd	ħ r d		660	ħ - r d - - - -
1590	ps	(a lizard)	*waran/l-	waran	w a r a n		661	w a r a n -
1043	geez	(a plant belonging to cucurbits)	ḳʷəsyāt	qˤʷəsjaːt	qʷˤ ə s j aː t		478	qʷˤ ə s j aː t - -
1040	hebrew	(a plant belonging to cucurbits)	ḳiššūˀīm	qˤiʃʃuːʔiːm	qˤ i ʃ ʃ uː ʔ iː m		478	qˤ i ʃ ʃ uː ʔ iː m
1038	ps	(a plant belonging to cucurbits)	*ḳVṯ(ṯ)Vˀ-	qˤ-θ-ʔ-	qˤ θ ʔ		478	qˤ - - θ - ʔ - -
964	ps	(a plant)	*ḥVlp(-at)-	ħ-lp-	ħ l p		405	ħ - l p - - -
997	ps	(a plant)	*ˁarˁar-	ʕarʕar-	ʕ a r ʕ a r		424	ʕ a r ʕ a r -
728	akkadian	(a synonym for lord, master)	baˀlīyu	baʔliːju	b a ʔ l iː j u		335	b a ʔ - l iː j u
978	hebrew	(a thorny plant)	ˀāṭād	ʔaːtˤaːd	ʔ aː tˤ aː d		409	ʔ aː - tˤ aː - d -
976	ps	(a thorny plant)	*ˀaṭad-	ʔatˤad-	ʔ a tˤ a d		409	ʔ a - tˤ a - d -
979	syriac	(a thorny plant)	ˀaṭādā	ʔatˤaːdaː	ʔ a tˤ aː d aː		409	ʔ a - tˤ aː - d aː
1223	akkadian	(a worm)	urbatu	urbatu	u r b a t u		526	- u r b a t u
1033	akkadian	(an alliaceous plant)	giršānu	girʃaːnu	g i r ʃ aː n u		477	g i r ʃ aː n u
3854	ps	(animal's) body from neck to rump	*labb(-at)-, *lab(y)-ān-	labb-	l a b b		1911	l a b b - - -
3000	ps	(animal) fat	*ṯarb-	θarb-	θ a r b		1479	θ a r b -
53	syriac	(aph.) to give drink, to irrigate	šḳy	ʃqˤj	ʃ qˤ j		9	ʃ - qˤ - j -
2783	syriac	(aph.) to make dwell	gnn	gnn	g n n		1175	g - n - n -
2236	syriac	(aph.) to scoff, mock; to despise, disdain; to praise	hll	hll	h l l		948	- - - h - - l - l - -
925	ugaritic	(basic stem) to accept or perform a property transfer, to succeed, to effect an exchange of goods; (intensive stem) to place obstacles, traps, to oppose	ˁḳb	ʕqˤb	ʕ qˤ b		394	ʕ - qˤ - b -
4016	akkadian	(city) wall	dūru	duːru	d uː r u		2023	d uː - r - u
549	arabic	(clarified) butter	samn-	samn-	s a m n		150	s a m - n -
1254	arabic	(cooking) pit	burat-	burat-	b u r a t		534	b u - - - r a t
3424	ps	(dead) body, back (of body)	*gVn(ā)z(-at)-	g-nz-	g n z		1683	g - n - z - -
297	ps	(deictic element)	*hanni-	hanni-	h a n n i		60	h a n n i
2373	ps	(dry cow's) dung	*kVbVw-	k-b-w-	k b w		986	k - b - w -
636	syriac	(etp.) to be drawn together, pressed together	ˁms	ʕms	ʕ m s		220	ʕ m s
1268	syriac	(etp.) to get a respite	npš	npʃ	n p ʃ		540	- - n - - p - ʃ - -
3625	ps	(feminine) genital organ, uterus	*ḥann(-at)-	ħann-	ħ a n n		1759	ħ a n n - - -
604	ps	(front part of) body; chest, belly; interior	*gaw(w)iˀ-	gawiʔ-	g a w i ʔ		199	g a - w i - ʔ -
4112	akkadian	(green) dry mucus, nasal discharge	ḫaṣartu	xasˤartu	x a sˤ a r t u		2089	x a sˤ a r - t u
816	ugaritic	(head of) cattle; bullock; yearling calf, young (head of) cattle	ˀalp	ʔalp	ʔ a l p		362	ʔ a l - p -
2361	hebrew	(hip. part.) to pass water, urinate	maštīn	maʃtiːn	m a ʃ t iː n		984	m a ʃ t iː n - - - -
792	hebrew	(hip.) to bring	ybl	jbl	j b l		353	- - j b - l -
2196	hebrew	(hip.) to harass, press hard; to drive someone into a corner	ṣwḳ	sˤwqˤ	sˤ w qˤ		932	sˤ w qˤ
797	hebrew	(hip.) to multiply	kbr	kbr	k b r		354	- - k - - b - r -
2291	hebrew	(hitpa.) to scrape oneself	grd	grd	g r d		967	g - r - d -
