ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
14855	ps	'young of animals, larva'	*ḥarSap-	ħar-ap-	ħ a r a p		1628	ħ a r - a p - -
5295	soqotri	(3 sg. f.) to rain	ľíso	líso	l í s o		542	- l í s o -
17687	hatran	(Aph.) to add	ysp	jsp	j s p		2029	j s - p - -
17686	nabataean	(Aph.) to add	ysp	jsp	j s p		2029	j s - p - -
1245	maalula	(Eck­)Zahn ((canine) tooth)	ˁerša	ʕerʃa	ʕ e r ʃ a		65	ʕ e - - r - ʃ a - -
18375	mehri	(H) to release, slacken	hərḫū	hərxuː	h ə r x uː		2159	h ə r - x - uː
17684	officialaramaic	(Haph.) to add	ysp	jsp	j s p		2029	j s - p - -
17683	oldaramaic	(Haph.) to add	ysp	jsp	j s p		2029	j s - p - -
17685	biblicalaramaic	(Hof.) to be added	ysp	jsp	j s p		2029	j s - p - -
3393	arabic	(III) to collect, to gather	wty	wtj	w t j		326	w - t - j -
4268	ps	(a big poplar)	*ˀayl(-ān)-	ʔajl-	ʔ a j l		414	ʔ a j - l -
6304	ebla	(a bird)	la-aḳ-la-ḳùm	la-aqˤ-la-qˤùm	l a a qˤ l a qˤ ù m		645	l a a qˤ l a - qˤ ù m
15435	akkadian	(a bird)	ḳú-ḳí-a-nu-um	qˤú-qˤí-a-nu-um	qˤ ú qˤ í a n u u m		1732	qˤ ú qˤ - - í a n u u m
16888	pws	(a botanical term)	*bVš-	b-ʃ-	b ʃ		1931	b - - - - ʃ - -
4412	akkadian	(a cereal)	burru	burru	b u r r u		436	b u - r r u -
4413	ebla	(a cereal)	bù-ur-tum	bù-ur-tum	b ù u r t u m		436	b ù u r t u m
4418	jibbali	(a cereal)	bohr	bohr	b o h r		436	b o - h r - -
4417	mehri	(a cereal)	barr	barr	b a r r		436	b a - r r - -
4416	sabaic	(a cereal, probably wheat)	br	br	b r		436	b - - - r - -
1557	akkadian	(a characteristic such as brilliance)	šērtu	ʃeːrtu	ʃ eː r t u		95	- - - - ʃ eː r - t u -
5378	akkadian	(a disease)	laˀbu	laʔbu	l a ʔ b u		550	l a ʔ - b u
6420	ps	(a lizard)	*ḥVmṭ-	ħ-mtˤ-	ħ m tˤ		659	ħ - - m - tˤ - - -
6424	ps	(a lizard)	*ḥVrd/ḏān-	ħ-rd	ħ r d		660	ħ - r d - - - - -
7780	ebla	(a metal object probably in form of a mushroom)	kà-ma-a-tum / kam₄-ma-a-tum	kà-ma-a-tum	k à m a a t u m		811	k à m - a a t u m
4606	geez	(a plant belonging to cucurbits)	ḳʷəsyāt	qˤʷəsjaːt	qʷˤ ə s j aː t		478	qʷˤ ə s j aː t - -
4603	hebrew	(a plant belonging to cucurbits)	ḳiššūˀīm	qˤiʃʃuːʔiːm	qˤ i ʃ ʃ uː ʔ iː m		478	qˤ i ʃ ʃ uː ʔ iː m
4601	ps	(a plant belonging to cucurbits)	*ḳVṯ(ṯ)Vˀ-	qˤ-θ-ʔ-	qˤ θ ʔ		478	qˤ - - θ - ʔ - -
4232	ps	(a plant)	*ḥVlp(-at)-	ħ-lp-	ħ l p		405	ħ - l p - - -
4309	ps	(a plant)	*ˁarˁar-	ʕarʕar-	ʕ a r ʕ a r		424	ʕ a r - ʕ a r -
3497	akkadian	(a synonym for lord, master)	baˀlīyu	baʔliːju	b a ʔ l iː j u		335	b a ʔ - l iː j u
4249	hebrew	(a thorny plant)	ˀāṭād	ʔaːtˤaːd	ʔ aː tˤ aː d		409	ʔ aː - tˤ aː - d -
4247	ps	(a thorny plant)	*ˀaṭad-	ʔatˤad-	ʔ a tˤ a d		409	ʔ a - tˤ a - d -
4250	syriac	(a thorny plant)	ˀaṭādā	ʔatˤaːdaː	ʔ a tˤ aː d aː		409	ʔ a - tˤ aː - d aː
4283	soqotri	(a tree)	ˁarhieb	ʕarhieb	ʕ a r h i e b		417	ʕ a r h i e b - - -
4279	pws	(a tree; probably the Euphrates poplar)	*γarab-at-	ɣarab-at-	ɣ a r a b a t		417	ɣ a r - - a b a t -
5119	akkadian	(a worm)	urbatu	urbatu	u r b a t u		526	- u r b a t u - - -
18319	arabic	(a) to count; (i) to think, believe	ḥsb	ħsb	ħ s b		2147	ħ s b
4596	akkadian	(an alliaceous plant)	giršānu	girʃaːnu	g i r ʃ aː n u		477	g i r ʃ aː n u
6297	samaritan	(an animal)	rḥmh	rħmh	r ħ m h		644	- r - ħ - m - h
6425	ebla	(an animal)	ḫu-da-um	xu-da-um	x u d a u m		660	x u - d a - - u m
6497	ebla	(an animal)	pur-ḫa-šúm	pur-xa-ʃúm	p u r x a ʃ ú m		669	p u r x a ʃ - ú m
14838	ebla	(an animal)	mu-da-ne-núm	mu-da-ne-núm	m u d a n e n ú m		1624	- - - m u - d a n e n ú m
16782	ps	(animal's) body from neck to rump	*labb(-at)-, *lab(y)-ān-	labb-	l a b b		1911	- - l a - b - b -
15898	pcs	(animal's) mouth, muzzle	*pVḳVm-	p-qˤ-m-	p qˤ m		1798	p - qˤ - m
