ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID	FORM	ALIGNMENT
0	PS	dog	*kalb-	k a l b	(SED II No. 115)	1	kalb-	^ k a l b - $
1	Akkadian	dog	kalbu	k a l b u	(CAD 68, AHw. 424)	1	kalbu	^ k a l b u $
2	Ugaritic	dog	klb	k l b	(DUL 439)	1	klb	^ k l b $
3	Hebrew	dog	käläb	k æ l æ b	(HALOT 476)	1	kælæb	^ k æ l æ b $
4	Syriac	dog	kalbā	k a l b aː	(LSyr. 328, SL 622)	1	kalbaː	^ k a l b aː $
5	Arabic	dog	kalb-	k a l b	(Lane 2625)	1	kalb-	^ k a l b - $
6	Geez	dog	kalb	k a l b	(CDG 282, LLA 818, Gr. 256)	1	kalb	^ k a l b $
7	PS	all	*kal-/*kull-	k a l		2	kal-	^ k a l - $
8	Akkadian	all	kalû	k a l û	(CAD K 87, AHw. 427)	2	kalû	^ k a l û $
9	Ugaritic	all	kl	k l	(DUL 436)	2	kl	^ k l $
10	Hebrew	all, the whole; everyone	kōl	k oː l	(HALOT 474)	2	koːl	^ k oː l $
11	Syriac	all, every; so much	kul	k u l	(LSyr. 326, SL 622)	2	kul	^ k u l $
12	Arabic	all, anyone	kull-	k u l l	(BK 918, Lane 3002)	2	kull-	^ k u l l - $
13	Geez	all	kʷəll	kʷ ə l l	(CDG 281)	2	kʷəll	^ kʷ ə l l $
14	PS	to assemble	*pḫr	p x r	(Kogan 2015:28)	3	pxr	^ p x r $
15	Akkadian	to assemble, to congregate; to gather, collect	paḫāru	p a x aː r u	(CAD P 23, AHw. 810)	3	paxaːru	^ p a x aː r u $
16	Ugaritic	assembly	pḫr	p x r	(DUL 669, Watson 2007:99)	3	pxr	^ p x r $
17	Ugaritic	whole, totality	pḫyr	p x y r	(DUL 669)	3	pxyr	^ p x y r $
18	Syriac	banquet	puḥrā	p u ħ r aː	(LSyr. 563, SL 1161)	3	puħraː	^ p u ħ r aː $
19	Arabic	to boast, to glory	fḫr	f x r	(Lane 2349)	3	fxr	^ f x r $
20	Arabic	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein	faḫūr-	f a x uː r	(Lane 2349)	3	faxuːr-	^ f a x uː r - $
21	Geez	to engage, to betroth, to espouse	faḫara	f a x a r a	(CDG 158)	3	faxara	^ f a x a r a $
22	PS	to bite	*nṯk/*nkṯ	n θ k	(CDG 402)	4	nθk	^ n θ k $
23	Akkadian	to bite	našāku	n a ʃ aː k u	(CAD N₂ 53, AHw. 758)	4	naʃaːku	^ n a ʃ aː k u $
24	Ugaritic	to bite	nṯk	n θ k	(DUL 653)	4	nθk	^ n θ k $
25	Hebrew	to bite	nšk	n ʃ k	(HALOT 729)	4	nʃk	^ n ʃ k $
26	Syriac	to bite; to incite, provoke	nkt	n k t	(LSyr. 430, SL 921)	4	nkt	^ n k t $
27	Arabic	to undo, to untwist; to dissolve, to break a covenant	nkṯ	n k θ	(Lane 2847)	4	nkθ	^ n k θ $
28	Geez	to bite	nasaka	n a s a k a	(CDG 402)	4	nasaka	^ n a s a k a $
29	PS	blood	*dam-, *ˀa-dam-	d a m	(SED I No. 50)	5	dam-	^ d a m - $
30	Akkadian	blood	damu	d a m u	(CAD D 75, AHw. 158)	5	damu	^ d a m u $
31	Ugaritic	blood	dm	d m	(DUL 272)	5	dm	^ d m $
32	Hebrew	blood	dām	d aː m	(HALOT 224)	5	daːm	^ d aː m $
33	Syriac	blood	dmā	d m aː	(LSyr. 156, SL 307)	5	dmaː	^ d m aː $
34	Arabic	blood	dam­-	d a m	(BK 1 736, Lane 916)	5	dam-	^ d a m - $
35	Geez	blood	dam	d a m	(CDG 133)	5	dam	^ d a m $
36	PS	to die	*mwt	m w t	(SED I No. 43ᵥ)	6	mwt	^ m w t $
37	Akkadian	to die	mâtu	m â t u	(CAD M₁ 461, AHw. 634)	6	mâtu	^ m â t u $
38	Ugaritic	to die	mt	m t	(DUL 596)	6	mt	^ m t $
39	Hebrew	to die	mwt	m w t	(HALOT 562)	6	mwt	^ m w t $
40	Syriac	to die	mwt	m w t	(LSyr. 378, SL 731)	6	mwt	^ m w t $
41	Geez	to die	mota	m o t a	(CDG 375)	6	mota	^ m o t a $
42	PS	to drink	*šty	ʃ t y	(CDG 518)	7	ʃty	^ ʃ t y $
43	Akkadian	to drink	šatû	ʃ a t û	(CAD Š₂ 207, AHw. 1202)	7	ʃatû	^ ʃ a t û $
44	Ugaritic	to drink	šty	ʃ t y	(DUL 853)	7	ʃty	^ ʃ t y $
45	Hebrew	to drink	šty	ʃ t y	(HALOT 1667)	7	ʃty	^ ʃ t y $
46	Syriac	to drink, to be watered, to be irrigated	šty	ʃ t y	(LSyr. 811, SL 1614)	7	ʃty	^ ʃ t y $
47	Syriac	to drink	šty	ʃ t y	(LSyr. 811, SL 1614)	7	ʃty	^ ʃ t y $
48	Geez	to drink	satya	s a t y a	(CDG 438)	7	satya	^ s a t y a $
49	PS	to irrigate, to quench one’s thirst	*šḳy	ʃ qˤ y	(HALOT 1639; Kogan 2011: 238)	9	ʃqˤy	^ ʃ qˤ y $
50	Akkadian	to give drink, to water, to irrigate	šaḳû	ʃ a qˤ û	(CAD Š₂ 24, AHw. 1181)	9	ʃaqˤû	^ ʃ a qˤ û $
51	Hebrew	(nip., hip.) to provide drink for, to irrigate	šḳy	ʃ qˤ y	(HALOT 1639)	9	ʃqˤy	^ ʃ qˤ y $
52	Syriac	(aph.) to give drink, to irrigate	šḳy	ʃ qˤ y	(LSyr. 798, SL 1593)	9	ʃqˤy	^ ʃ qˤ y $
